(10,1)
(20,1)
(30,1)
(40,1)
(50,1)
(60,1)
(70,1)
(80,1)
(90,1)
(100,1)
(200,1.83530567536134)
(300,2.91896114775023)
(400,1)
(500,1.83530567536134)
(600,1.83530567536134)
(700,1.83530567536134)
(800,2.54350785855323)
(900,2.54350785855323)
(1000,2.54350785855323)
(2000,3.12390663352579)
(3000,3.12390663352579)
(4000,2.91896114775023)
(5000,2.91896114775023)
(6000,3.07001875583516)
(7000,3.12390663352579)
(8000,3.07001875583516)
(9000,3.12390663352579)
(10000,3.09855832631129)
(20000,3.09855832631129)
(30000,3.02492295369089)
(40000,3.02492295369089)
(50000,3.02492295369089)
(60000,3.02492295369089)
(70000,3.02492295369089)
(80000,2.8236181957194)
(90000,2.8236181957194)
(100000,2.8236181957194)
(200000,2.8236181957194)
(300000,2.33720490929189)
(400000,2.33720490929189)
(500000,2.33720490929189)
(600000,1.54088093143641)
(700000,1.54088093143641)
(800000,0.611115401386871)
(900000,0.611115401386871)
(1000000,0.28205493769258)
(2000000,0.0123586814126552)
(3000000,0.0340480507425816)
(4000000,0.0340480507425816)
(5000000,0.0278306236264646)
(6000000,0.233948153119601)
(7000000,0.233948153119601)
(8000000,0.233948153119601)
(9000000,0.0820428743112587)
(10000000,0.154760918563071)
(20000000,0.578354695819526)
(30000000,0.0954421060045523)
(40000000,1)
(50000000,1)
(60000000,1)
(70000000,1)
(80000000,1)
(90000000,1)
(100000000,1)
