(10,1)
(20,1)
(30,1)
(40,1)
(50,1)
(60,1)
(70,1)
(80,1)
(90,1)
(100,1)
(200,0.611768558453779)
(300,0.108109672138897)
(400,1)
(500,0.611768558453779)
(600,0.611768558453779)
(700,0.611768558453779)
(800,0.282611984283692)
(900,0.282611984283692)
(1000,0.282611984283692)
(2000,0.0128555828540156)
(3000,0.0128555828540156)
(4000,0.108109672138897)
(5000,0.108109672138897)
(6000,0.0379014661214217)
(7000,0.0128555828540156)
(8000,0.0379014661214217)
(9000,0.0128555828540156)
(10000,0.0382538064976703)
(20000,0.0382538064976703)
(30000,0.112034183470033)
(40000,0.112034183470033)
(50000,0.112034183470033)
(60000,0.112034183470033)
(70000,0.112034183470033)
(80000,0.313735355079933)
(90000,0.313735355079933)
(100000,0.313735355079933)
(200000,0.313735355079933)
(300000,0.779068303097298)
(400000,0.779068303097298)
(500000,0.779068303097298)
(600000,1.54088093143641)
(700000,1.54088093143641)
(800000,1.83334620416061)
(900000,1.83334620416061)
(1000000,2.53849443923322)
(2000000,3.00315958327521)
(3000000,2.75789211014911)
(4000000,2.75789211014911)
(5000000,2.25428051374363)
(6000000,2.10553337807641)
(7000000,2.10553337807641)
(8000000,2.10553337807641)
(9000000,2.21515760640399)
(10000000,1.39284826706764)
(20000000,0.578354695819526)
(30000000,0.0954421060045523)
(40000000,1)
(50000000,1)
(60000000,1)
(70000000,1)
(80000000,1)
(90000000,1)
(100000000,1)
