(10,1)
(20,1)
(30,1)
(40,1)
(50,1)
(60,1)
(70,1)
(80,1)
(90,1)
(100,1)
(200,1.80858003277739)
(300,2.8231224530558)
(400,1)
(500,1.80858003277739)
(600,1.80858003277739)
(700,1.80858003277739)
(800,2.47590155218339)
(900,2.47590155218339)
(1000,2.47590155218339)
(2000,2.47590155218339)
(3000,2.47590155218339)
(4000,2.8231224530558)
(5000,2.8231224530558)
(6000,2.96156597686688)
(7000,3.01078136257193)
(8000,3.01078136257193)
(9000,2.96156597686688)
(10000,3.01078136257193)
(20000,2.99208976213297)
(30000,2.93738199953576)
(40000,2.93738199953576)
(50000,2.93738199953576)
(60000,2.93738199953576)
(70000,2.93738199953576)
(80000,2.93738199953576)
(90000,2.78463794086859)
(100000,2.78463794086859)
(200000,2.7581813480866)
(300000,2.38903266686472)
(400000,2.33147328184673)
(500000,2.33147328184673)
(600000,2.33147328184673)
(700000,1.59240702443571)
(800000,1.59240702443571)
(900000,0.664807221454126)
(1000000,0.664807221454126)
(2000000,0.0137194478899684)
(3000000,0.0407896936846686)
(4000000,0.259482362604041)
(5000000,0.259482362604041)
(6000000,0.0312018333471105)
(7000000,0.544352578260083)
(8000000,0.544352578260083)
(9000000,0.544352578260083)
(10000000,0.544352578260083)
(20000000,1)
(30000000,1)
(40000000,1)
(50000000,1)
(60000000,1)
(70000000,1)
(80000000,1)
(90000000,1)
(100000000,1)
