(10,1)
(20,1)
(30,1)
(40,1)
(50,1)
(60,1)
(70,1)
(80,1)
(90,1)
(100,1)
(200,0.602860010925795)
(300,0.104560090853918)
(400,1)
(500,0.602860010925795)
(600,0.602860010925795)
(700,0.602860010925795)
(800,0.275100172464822)
(900,0.275100172464822)
(1000,0.275100172464822)
(2000,0.275100172464822)
(3000,0.275100172464822)
(4000,0.104560090853918)
(5000,0.104560090853918)
(6000,0.0365625429242825)
(7000,0.0123900467595553)
(8000,0.0123900467595553)
(9000,0.0365625429242825)
(10000,0.0123900467595553)
(20000,0.0369393797794194)
(30000,0.108791925908732)
(40000,0.108791925908732)
(50000,0.108791925908732)
(60000,0.108791925908732)
(70000,0.108791925908732)
(80000,0.108791925908732)
(90000,0.309404215652065)
(100000,0.309404215652065)
(200000,0.306464594231845)
(300000,0.796344222288239)
(400000,0.777157760615577)
(500000,0.777157760615577)
(600000,0.777157760615577)
(700000,1.59240702443571)
(800000,1.59240702443571)
(900000,1.99442166436238)
(1000000,1.99442166436238)
(2000000,3.33382583726232)
(3000000,3.30396518845815)
(4000000,2.33534126343637)
(5000000,2.33534126343637)
(6000000,2.52734850111595)
(7000000,0.544352578260083)
(8000000,0.544352578260083)
(9000000,0.544352578260083)
(10000000,0.544352578260083)
(20000000,1)
(30000000,1)
(40000000,1)
(50000000,1)
(60000000,1)
(70000000,1)
(80000000,1)
(90000000,1)
(100000000,1)
